sudut;azimuth;elevation
0;1;1
1;0.99939092;0.998782211
2;0.997565534;0.995136994
3;0.994529398;0.989088723
4;0.990291746;0.980677743
5;0.984865454;0.969959963
6;0.978266983;0.957006289
7;0.970516312;0.941901912
8;0.96163686;0.92474545
9;0.951655382;0.905647967
10;0.940601866;0.88473187
11;0.928509402;0.86212971
12;0.915414055;0.837982891
13;0.901354708;0.812440309
14;0.886372909;0.785656934
15;0.870512702;0.757792364
16;0.853820441;0.729009346
17;0.83634461;0.699472307
18;0.818135621;0.669345895
19;0.799245614;0.638793551
20;0.779728244;0.607976134
21;0.759638471;0.577050606
22;0.739032337;0.546168796
23;0.717966748;0.515476251
24;0.696499245;0.485111199
25;0.674687783;0.455203604
26;0.652590501;0.425874362
27;0.630265502;0.397234603
28;0.607770628;0.369385136
29;0.585163239;0.342416016
30;0.5625;0.31640625
31;0.539836668;0.291423629
32;0.517227889;0.267524689
33;0.494726996;0.2447548
34;0.472385822;0.223148365
35;0.450254516;0.202729129
36;0.428381373;0.183510601
37;0.406812666;0.165496545
38;0.385592499;0.148681575
39;0.364762663;0.1330518
40;0.344362511;0.118585539
41;0.324428838;0.105254071
42;0.304995782;0.093022427
43;0.286094728;0.081850194
44;0.267754242;0.071692334
45;0.25;0.0625
46;0.232854745;0.054221332
47;0.216338255;0.04680224
48;0.200467318;0.040187146
49;0.185255738;0.034319688
50;0.170714334;0.029143384
51;0.156850972;0.024602228
52;0.143670603;0.020641242
53;0.13117531;0.017206962
54;0.119364379;0.014247855
55;0.108234373;0.011714679
56;0.097779228;0.009560777
57;0.087990353;0.007742302
58;0.078856742;0.006218386
59;0.070365106;0.004951248
60;0.0625;0.00390625
61;0.055243975;0.003051897
62;0.048577724;0.002359795
63;0.04248025;0.001804572
64;0.036929025;0.001363753
65;0.031900173;0.001017621
66;0.027368639;0.000749042
67;0.023308378;0.00054328
68;0.019692537;0.000387796
69;0.016493645;0.00027204
70;0.013683801;0.000187246
71;0.01123486;0.000126222
72;0.009118627;8.31494E-05
73;0.007307038;5.33928E-05
74;0.005772345;3.332E-05
75;0.004487298;2.01358E-05
76;0.003425317;1.17328E-05
77;0.002560661;6.55699E-06
78;0.001868597;3.49165E-06
79;0.001325548;1.75708E-06
80;0.000909245;8.26726E-07
81;0.000598866;3.58641E-07
82;0.000375164;1.40748E-07
83;0.000220586;4.86582E-08
84;0.000119382;1.4252E-08
85;5.77011E-05;3.32942E-09
86;2.36776E-05;5.6063E-10
87;7.50241E-06;5.62861E-11
88;1.48346E-06;2.20066E-12
89;9.27729E-08;8.60682E-15
90;1.4081E-65;1.9828E-130
91;9.27729E-08;8.60682E-15
92;1.48346E-06;2.20066E-12
93;7.50241E-06;5.62861E-11
94;2.36776E-05;5.6063E-10
95;5.77011E-05;3.32942E-09
96;0.000119382;1.4252E-08
